User Email,Ticket ID,Help Topic,Issue Summary,Detailed Explanation,Location,Department / Hostel,Mobile Number,Preferred Time,Assigned Engineer,Status
"sarvajith778@gmail.com","PL-127","Plumbing","Geyser not heating","Geyser in Room 301 is not heating water.","Room 301","Hostel D","4433221100","10:00 AM","Rita","Completed"
"abn@gmail.com","NW-128","Network","Proxy error","Browser showing proxy server errors.","Lab 5","IT Dept","3322110099","11:00 AM","Deepak","Completed"
"sreearavind20092007@gmail.com","AT-129","Attendance System","Duplicate entry","Punching in twice recorded by system.","Ground","Campus","9876543210","05:00 PM","Preeti","Open"
"arav123@gmail.com","IT-130","IT Equipment","Keyboard broken","Several keys are stuck on library PC.","Room 101","Hostel A","8877665544","04:00 PM","Sonia","Open"
"sharika@gmail.com","AC-131","AC-Problem","Vibration","Outdoor AC unit is vibrating loudly.","Room 401","Hostel B","7766554433","03:00 PM","Anita","Completed"
"test1@ssn.edu.in","EL-132","Electrical","Exhaust fan dead","Exhaust fan in lab stopped.","Lab 2","Science","6655443322","11:00 AM","Priya","Open"
"architha@gmail.com","PL-133","Plumbing","Tap broken","Kitchen tap handle has come off.","Room 312","Hostel C","5544332211","07:00 AM","Nithin","Completed"
"sarvajith778@gmail.com","NW-134","Network","Firewall block","Unable to access GitHub on lab PCs.","Lab 8","CS Dept","4433221100","11:30 AM","Kavita","Open"
"abn@gmail.com","AT-135","Attendance System","Holiday marked absent","Marked absent on a public holiday.","Online","System","3322110099","10:00 AM","Rohit","Open"
"sreearavind20092007@gmail.com","IT-136","IT Equipment","Scanner error","Scanner not detecting any documents.","Lab 15","Mech Dept","9876543210","02:30 PM","Sanjana","Open"
"arav123@gmail.com","AC-137","AC-Problem","Ice formation","Ice visible on the AC cooling coils.","Parking","Campus","8877665544","08:00 PM","Vikram","Open"
"sharika@gmail.com","EL-138","Electrical","Light flickering","Panel lights in the lobby are flickering.","Room 205","Hostel A","7766554433","10:00 AM","Manish","Open"
"test1@ssn.edu.in","PL-139","Plumbing","Low pressure","Water pressure is very low in washrooms.","Server Room","IT Dept","6655443322","09:00 AM","Geetha","Open"
"architha@gmail.com","NW-140","Network","Port error","Port 80 blocked on server.","Mess","Hostel B","5544332211","11:00 AM","Alice","Open"
